date,co2,date_seas_adj,co2_seas_adj,date_fit,co2_fit,date_seas_adj_fit,co2_seas_adj_fit
1975.45479452055,333.61,1975.45479452055,331.37,1975.04109589041,330.73,1975.04109589041,330.66
1975.53698630137,331.91,1975.53698630137,331.21,1975.12602739726,331.42,1975.12602739726,330.74
1975.62191780822,330.06,1975.62191780822,331.42,1975.20273972603,332.18,1975.20273972603,330.82
1975.70684931507,328.56,1975.70684931507,331.62,1975.28767123288,333.36,1975.28767123288,330.92
1975.78904109589,328.35,1975.78904109589,331.51,1975.3698630137,333.98,1975.3698630137,331.01
1975.87397260274,329.5,1975.87397260274,331.48,1975.45479452055,333.34,1975.45479452055,331.11
1975.95616438356,330.77,1975.95616438356,331.58,1975.53698630137,331.88,1975.53698630137,331.21
1976.04098360656,331.76,1976.04098360656,331.7,1975.62191780822,329.91,1975.62191780822,331.3
1976.12568306011,332.58,1976.12568306011,331.9,1975.70684931507,328.32,1975.70684931507,331.39
1976.20491803279,333.5,1976.20491803279,332.13,1975.78904109589,328.33,1975.78904109589,331.48
1976.28961748634,334.59,1976.28961748634,332.13,1975.87397260274,329.6,1975.87397260274,331.56
1976.37158469945,334.89,1976.37158469945,331.91,1975.95616438356,330.85,1975.95616438356,331.64
1976.45628415301,334.34,1976.45628415301,332.11,1976.04098360656,331.79,1976.04098360656,331.72
1976.53825136612,333.06,1976.53825136612,332.38,1976.12568306011,332.49,1976.12568306011,331.8
1976.62295081967,330.95,1976.62295081967,332.33,1976.20491803279,333.27,1976.20491803279,331.88
1976.70765027322,329.31,1976.70765027322,332.39,1976.28961748634,334.44,1976.28961748634,331.96
1976.78961748634,328.95,1976.78961748634,332.11,1976.37158469945,335.01,1976.37158469945,332.03
1976.87431693989,330.32,1976.87431693989,332.3,1976.45628415301,334.33,1976.45628415301,332.12
1976.95628415301,331.69,1976.95628415301,332.51,1976.53825136612,332.85,1976.53825136612,332.2
1977.04109589041,332.94,1977.04109589041,332.88,1976.62295081967,330.88,1976.62295081967,332.3
1977.12602739726,333.43,1977.12602739726,332.75,1976.70765027322,329.31,1976.70765027322,332.4
1977.20273972603,334.71,1977.20273972603,333.35,1976.78961748634,329.36,1976.78961748634,332.51
1977.28767123288,336.08,1977.28767123288,333.63,1976.87431693989,330.68,1976.87431693989,332.64
1977.3698630137,336.76,1977.3698630137,333.77,1976.95628415301,331.98,1976.95628415301,332.78
1977.45479452055,336.28,1977.45479452055,334.02,1977.04109589041,333.01,1977.04109589041,332.94
1977.53698630137,334.93,1977.53698630137,334.22,1977.12602739726,333.8,1977.12602739726,333.11
1977.62191780822,332.76,1977.62191780822,334.13,1977.20273972603,334.65,1977.20273972603,333.28
1977.70684931507,331.6,1977.70684931507,334.68,1977.28767123288,335.93,1977.28767123288,333.46
1977.78904109589,331.17,1977.78904109589,334.35,1977.3698630137,336.63,1977.3698630137,333.64
1977.87397260274,332.41,1977.87397260274,334.41,1977.45479452055,336.06,1977.45479452055,333.82
1977.95616438356,333.86,1977.95616438356,334.67,1977.53698630137,334.67,1977.53698630137,333.99
1978.04109589041,334.98,1978.04109589041,334.93,1977.62191780822,332.76,1977.62191780822,334.16
1978.12602739726,335.4,1978.12602739726,334.71,1977.70684931507,331.23,1977.70684931507,334.32
1978.20273972603,336.65,1978.20273972603,335.29,1977.78904109589,331.3,1977.78904109589,334.46
1978.28767123288,337.77,1978.28767123288,335.31,1977.87397260274,332.63,1977.87397260274,334.61
1978.3698630137,338.02,1978.3698630137,335.03,1977.95616438356,333.94,1977.95616438356,334.74
1978.45479452055,337.91,1978.45479452055,335.64,1978.04109589041,334.95,1978.04109589041,334.88
1978.53698630137,336.55,1978.53698630137,335.84,1978.12602739726,335.71,1978.12602739726,335.02
1978.62191780822,334.69,1978.62191780822,336.06,1978.20273972603,336.51,1978.20273972603,335.13
1978.70684931507,332.77,1978.70684931507,335.86,1978.28767123288,337.73,1978.28767123288,335.26
1978.78904109589,332.56,1978.78904109589,335.74,1978.3698630137,338.37,1978.3698630137,335.38
1978.87397260274,333.93,1978.87397260274,335.93,1978.45479452055,337.74,1978.45479452055,335.5
1978.95616438356,334.96,1978.95616438356,335.78,1978.53698630137,336.28,1978.53698630137,335.6
1979.04109589041,336.24,1979.04109589041,336.18,1978.62191780822,334.31,1978.62191780822,335.71
1979.12602739726,336.77,1979.12602739726,336.09,1978.70684931507,332.7,1978.70684931507,335.8
1979.20273972603,337.97,1979.20273972603,336.61,1978.78904109589,332.72,1978.78904109589,335.9
1979.28767123288,338.89,1979.28767123288,336.43,1978.87397260274,334.01,1978.87397260274,335.99
1979.3698630137,339.48,1979.3698630137,336.48,1978.95616438356,335.29,1978.95616438356,336.09
1979.45479452055,339.3,1979.45479452055,337.02,1979.04109589041,336.26,1979.04109589041,336.2
1979.53698630137,337.74,1979.53698630137,337.03,1979.12602739726,337,1979.12602739726,336.31
1979.62191780822,336.1,1979.62191780822,337.47,1979.20273972603,337.8,1979.20273972603,336.42
1979.70684931507,333.93,1979.70684931507,337.03,1979.28767123288,339.03,1979.28767123288,336.55
1979.78904109589,333.87,1979.78904109589,337.07,1979.3698630137,339.68,1979.3698630137,336.67
1979.87397260274,335.3,1979.87397260274,337.31,1979.45479452055,339.07,1979.45479452055,336.81
1979.95616438356,336.74,1979.95616438356,337.56,1979.53698630137,337.63,1979.53698630137,336.94
1980.04098360656,338.03,1980.04098360656,337.98,1979.62191780822,335.68,1979.62191780822,337.09
1980.12568306011,338.37,1980.12568306011,337.68,1979.70684931507,334.12,1979.70684931507,337.23
1980.20491803279,340.09,1980.20491803279,338.69,1979.78904109589,334.19,1979.78904109589,337.38
1980.28961748634,340.78,1980.28961748634,338.28,1979.87397260274,335.55,1979.87397260274,337.53
1980.37158469945,341.48,1980.37158469945,338.47,1979.95616438356,336.88,1979.95616438356,337.69
1980.45628415301,341.18,1980.45628415301,338.92,1980.04098360656,337.92,1980.04098360656,337.86
1980.53825136612,339.57,1980.53825136612,338.88,1980.12568306011,338.72,1980.12568306011,338.03
1980.62295081967,337.61,1980.62295081967,339.01,1980.20491803279,339.59,1980.20491803279,338.18
1980.70765027322,335.9,1980.70765027322,339.01,1980.28961748634,340.86,1980.28961748634,338.34
1980.78961748634,336.03,1980.78961748634,339.23,1980.37158469945,341.51,1980.37158469945,338.49
1980.87431693989,337.12,1980.87431693989,339.13,1980.45628415301,340.88,1980.45628415301,338.64
1980.95628415301,338.23,1980.95628415301,339.06,1980.53825136612,339.43,1980.53825136612,338.78
1981.04109589041,339.25,1981.04109589041,339.2,1980.62295081967,337.47,1980.62295081967,338.91
1981.12602739726,340.5,1981.12602739726,339.81,1980.70765027322,335.9,1980.70765027322,339.03
1981.20273972603,341.4,1981.20273972603,340.03,1980.78961748634,335.95,1980.78961748634,339.14
1981.28767123288,342.52,1981.28767123288,340.04,1980.87431693989,337.26,1980.87431693989,339.25
1981.3698630137,342.93,1981.3698630137,339.9,1980.95628415301,338.55,1980.95628415301,339.35
1981.45479452055,342.27,1981.45479452055,339.98,1981.04109589041,339.53,1981.04109589041,339.46
1981.53698630137,340.51,1981.53698630137,339.79,1981.12602739726,340.26,1981.12602739726,339.56
1981.62191780822,338.45,1981.62191780822,339.83,1981.20273972603,341.04,1981.20273972603,339.65
1981.70684931507,336.71,1981.70684931507,339.83,1981.28767123288,342.24,1981.28767123288,339.74
1981.78904109589,336.88,1981.78904109589,340.1,1981.3698630137,342.85,1981.3698630137,339.82
1981.87397260274,338.38,1981.87397260274,340.4,1981.45479452055,342.18,1981.45479452055,339.91
1981.95616438356,339.63,1981.95616438356,340.46,1981.53698630137,340.68,1981.53698630137,339.99
1982.04109589041,340.77,1982.04109589041,340.72,1981.62191780822,338.67,1981.62191780822,340.08
1982.12602739726,341.63,1982.12602739726,340.94,1981.70684931507,337.05,1981.70684931507,340.18
1982.20273972603,342.72,1982.20273972603,341.34,1981.78904109589,337.07,1981.78904109589,340.28
1982.28767123288,343.59,1982.28767123288,341.1,1981.87397260274,338.39,1981.87397260274,340.39
1982.3698630137,344.16,1982.3698630137,341.12,1981.95616438356,339.69,1981.95616438356,340.5
1982.45479452055,343.37,1982.45479452055,341.07,1982.04109589041,340.67,1982.04109589041,340.61
1982.53698630137,342.07,1982.53698630137,341.35,1982.12602739726,341.41,1982.12602739726,340.71
1982.62191780822,339.83,1982.62191780822,341.21,1982.20273972603,342.2,1982.20273972603,340.8
1982.70684931507,338,1982.70684931507,341.12,1982.28767123288,343.4,1982.28767123288,340.89
1982.78904109589,337.88,1982.78904109589,341.11,1982.3698630137,344.01,1982.3698630137,340.98
1982.87397260274,339.28,1982.87397260274,341.31,1982.45479452055,343.33,1982.45479452055,341.06
1982.95616438356,340.51,1982.95616438356,341.34,1982.53698630137,341.82,1982.53698630137,341.13
1983.04109589041,341.4,1983.04109589041,341.34,1982.62191780822,339.79,1982.62191780822,341.21
1983.12602739726,342.54,1983.12602739726,341.85,1982.70684931507,338.16,1982.70684931507,341.3
1983.20273972603,343.12,1983.20273972603,341.73,1982.78904109589,338.18,1982.78904109589,341.39
1983.28767123288,344.96,1983.28767123288,342.46,1982.87397260274,339.5,1982.87397260274,341.51
1983.3698630137,345.78,1983.3698630137,342.73,1982.95616438356,340.83,1982.95616438356,341.64
1983.45479452055,345.34,1983.45479452055,343.03,1983.04109589041,341.86,1983.04109589041,341.79
1983.53698630137,344,1983.53698630137,343.28,1983.12602739726,342.66,1983.12602739726,341.96
1983.62191780822,342.4,1983.62191780822,343.79,1983.20273972603,343.53,1983.20273972603,342.13
